"kode","uraian"
"5.1.01.01.010.00002","Belanja Iuran Jaminan Kecelakaan Kerja PPPK"
"5.1.01.01.011","Belanja Iuran Jaminan Kematian ASN"
"5.1.01.01.011.00001","Belanja Iuran Jaminan Kematian PNS"
"5.1.01.01.011.00002","Belanja Iuran Jaminan Kematian PPPK"
"5.1.01.01.012","Belanja Iuran Simpanan Peserta Tabungan Perumahan Rakyat ASN"
"5.1.01.01.012.00001","Belanja Iuran Simpanan Peserta Tabungan Perumahan Rakyat PNS"
"5.1.01.01.012.00002","Belanja Iuran Simpanan Peserta Tabungan Perumahan Rakyat PPPK"
"5.1.01.02","Belanja Tambahan Penghasilan ASN"
"5.1.01.02.001","Tambahan Penghasilan berdasarkan Beban Kerja ASN"
"5.1.01.02.001.00001","Tambahan Penghasilan berdasarkan Beban Kerja PNS"
"5.1.01.02.001.00002","Tambahan Penghasilan berdasarkan Beban Kerja PPPK"
"5.1.01.02.004","Tambahan Penghasilan berdasarkan Kelangkaan Profesi ASN"
"5.1.01.02.004.00001","Tambahan Penghasilan berdasarkan Kelangkaan Profesi PNS"
"5.1.01.02.006","Tambahan Penghasilan berdasarkan Pertimbangan Objektif Lainnya ASN"
"5.1.01.02.006.00022","Belanja Insentif bagi ASN atas Pemungutan Retribusi Daerah-Retribusi Jasa
Umum-Pelayanan Kesehatan"
"5.1.01.02.006.00064","Belanja Tunjangan Profesi Guru (TPG) PNSD"
"5.1.01.02.006.00066","Belanja Tambahan Penghasilan (Tamsil) Guru PNSD"
"5.1.01.04","Belanja Gaji dan Tunjangan DPRD"
"5.1.01.04.001","Belanja Uang Representasi DPRD"
"5.1.01.04.001.00001","Belanja Uang Representasi DPRD"
"5.1.01.04.002","Belanja Tunjangan Keluarga DPRD"
"5.1.01.04.002.00001","Belanja Tunjangan Keluarga DPRD"
"5.1.01.04.003","Belanja Tunjangan Beras DPRD"
"5.1.01.04.003.00001","Belanja Tunjangan Beras DPRD"
"5.1.01.04.004","Belanja Uang Paket DPRD"
"5.1.01.04.004.00001","Belanja Uang Paket DPRD"
"5.1.01.04.005","Belanja Tunjangan Jabatan DPRD"
"5.1.01.04.005.00001","Belanja Tunjangan Jabatan DPRD"
"5.1.01.04.006","Belanja Tunjangan Alat Kelengkapan DPRD"
"5.1.01.04.006.00001","Belanja Tunjangan Alat Kelengkapan DPRD"
"5.1.01.04.007","Belanja Tunjangan Alat Kelengkapan Lainnya DPRD"
"5.1.01.04.007.00001","Belanja Tunjangan Alat Kelengkapan Lainnya DPRD"
"5.1.01.04.008","Belanja Tunjangan Komunikasi Intensif Pimpinan dan Anggota DPRD"
"5.1.01.04.008.00001","Belanja Tunjangan Komunikasi Intensif Pimpinan dan Anggota DPRD"
"5.1.01.04.009","Belanja Tunjangan Reses DPRD"
"5.1.01.04.009.00001","Belanja Tunjangan Reses DPRD"
